"","Aspek","n","mean","sd","min","max","median","skew","kurtosis"
"ACH","Achievement",6464,16.4707611386139,3.38129471221716,4,28,16,-0.00161067504403312,-0.161756997067649
"DEF","Deference",6464,14.460396039604,3.35975078341385,2,26,14,-0.108767642333014,-0.0670450795562263
"ORD","Order",6464,17.3866027227723,4.56586368796197,1,28,18,-0.306576289232893,-0.160078144540606
"EXH","Exhibition",6464,13.1246905940594,3.27863076273494,1,26,13,0.0819592242568435,0.101918989448444
"AUT","Autonomy",6464,10.7388613861386,3.41441633393005,0,23,11,0.198973974744345,-0.0700464537752361
"AFF","Affiliation",6464,13.144801980198,3.65061774993497,1,26,13,0.0905794782012419,-0.0195316001984054
"INT","Intraception",6464,17.0725556930693,3.68366537425726,3,27,17,-0.0204412668619862,-0.216834440951428
"SUC","Succorance",6464,11.3386448019802,4.47399878162859,0,28,11,0.175053155100898,-0.388906780823048
"DOM","Dominance",6464,14.7176670792079,4.2504333028027,2,28,14,0.27953136276301,-0.133445117154305
"ABA","Abasement",6464,16.9043935643564,3.75121652809152,1,28,17,-0.222508992666078,-0.0329992087390303
"NUR","Nurturance",6464,16.3623143564356,4.13839682679511,3,28,16,-0.0194185513720608,-0.268828148227948
"CHG","Change",6464,14.953125,3.94984016534017,2,28,15,0.144993872579181,0.028954501713728
"END","Endurance",6464,18.3462252475248,4.25369746409536,0,28,18,-0.242536619653429,-0.232814197784319
"HET","Heterosexuality",6464,5.20095915841584,4.53149198692947,0,26,4,1.01809689530097,0.549023350250232
"AGG","Aggression",6464,9.77800123762376,4.33143431092385,0,26,9,0.350434655367601,-0.414726853422872
