"Aspek","Mean","SD","Min","Max","P10","P25","P50","P75","P90"
"Achievement",16.47,3.38,4,28,12,14,16,19,21
"Deference",14.46,3.36,2,26,10,12,14,17,19
"Order",17.39,4.57,1,28,11,14,18,21,23
"Exhibition",13.12,3.28,1,26,9,11,13,15,17
"Autonomy",10.74,3.41,0,23,6,8,11,13,15
"Affiliation",13.14,3.65,1,26,8,11,13,16,18
"Intraception",17.07,3.68,3,27,12,15,17,20,22
"Succorance",11.34,4.47,0,28,6,8,11,15,17
"Dominance",14.72,4.25,2,28,10,12,14,17,21
"Abasement",16.9,3.75,1,28,12,14,17,20,22
"Nurturance",16.36,4.14,3,28,11,14,16,19,22
"Change",14.95,3.95,2,28,10,12,15,17,20
"Endurance",18.35,4.25,0,28,13,15,18,21,24
"Heterosexuality",5.2,4.53,0,26,0,2,4,8,12
"Aggression",9.78,4.33,0,26,4,6,9,13,16
