"node","measure","value"
"Achievement","Strength",2.45355851570894
"Deference","Strength",1.90280728833764
"Order","Strength",3.00578403402896
"Exhibition","Strength",1.48217249022641
"Autonomy","Strength",2.18067121686243
"Affiliation","Strength",1.95852347963742
"Intraception","Strength",1.01925865581476
"Succorance","Strength",2.23434988594984
"Dominance","Strength",1.6958163108054
"Abasement","Strength",1.68667052994972
"Nurturance","Strength",2.41880967377064
"Change","Strength",1.23844761784129
"Endurance","Strength",2.78738235361321
"Heterosexuality","Strength",2.68366185863247
"Aggression","Strength",2.96316381419023
