"Aspek","SangatTinggi","Tinggi","Ratarata","Rendah","SangatRendah"
"Achievement",113,1132,3973,1137,109
"Deference",95,1094,4058,1073,144
"Order",59,1183,4293,711,218
"Exhibition",178,756,4662,758,110
"Autonomy",181,709,4450,1061,63
"Affiliation",153,1000,4305,892,114
"Intraception",138,1020,4225,963,118
"Succorance",145,1046,4273,939,61
"Dominance",182,1010,4274,891,107
"Abasement",90,1020,4229,925,200
"Nurturance",147,906,4254,979,178
"Change",219,955,4100,1020,170
"Endurance",83,1106,4030,1098,147
"Heterosexuality",271,903,4559,731,0
"Aggression",196,793,4344,1083,48
