"From","To","Betweenness","Weight"
NA,NA,26,0.0057760133836019
NA,NA,14,0.00935240677576062
NA,NA,14,0.0110205272733943
NA,NA,14,0.0135516003066997
NA,NA,13,0.0401850111521556
NA,NA,11,0.0261250469654424
NA,NA,11,0.0364649356014152
NA,NA,10,0.0160537743984515
NA,NA,9,0.0501586727134992
NA,NA,8,0.0494281875080074
NA,NA,8,0.0325743858630328
NA,NA,7,0.042761598155782
NA,NA,7,0.0131118542176511
NA,NA,7,0.0553157814609987
NA,NA,6,0.0324844298191722
NA,NA,6,0.0411563063958908
NA,NA,6,0.0404421504451626
NA,NA,6,0.0275538530324611
NA,NA,6,0.0851351627145091
NA,NA,5,0.0373123209068739
NA,NA,4,0.0694837115425298
NA,NA,4,0.0272592385657019
NA,NA,4,0.0349372623599485
NA,NA,3,0.0316987684729624
NA,NA,2,0.0519740567593343
NA,NA,1,0.0782182418698738
NA,NA,1,0.102230416815168
NA,NA,0,0.102912602971692
NA,NA,0,0.257023125369782
NA,NA,0,0.165579736092626
NA,NA,0,0.295182594982342
NA,NA,0,0.151531287108812
NA,NA,0,0.155350266946096
NA,NA,0,0.192348215647739
NA,NA,0,0.0862443430746153
NA,NA,0,0.292719552142066
NA,NA,0,0.269181388770918
NA,NA,0,0.287624762785271
NA,NA,0,0.294961103337526
NA,NA,0,0.0887043802019612
NA,NA,0,0.170066130382617
NA,NA,0,0.121255945882253
NA,NA,0,0.14615536650104
NA,NA,0,0.104196977720514
NA,NA,0,0.0583699371370636
NA,NA,0,0.140730528889711
NA,NA,0,0.143487414085864
NA,NA,0,0.114270822106499
NA,NA,0,0.136142731985768
NA,NA,0,0.272200927313038
NA,NA,0,0.184151500254828
NA,NA,0,0.284968029844108
NA,NA,0,0.245815138043673
NA,NA,0,0.0400113990743806
NA,NA,0,0.233800428771579
NA,NA,0,0.117618013261596
NA,NA,0,0.11592158460646
NA,NA,0,0.145567637435386
NA,NA,0,0.404210688390203
NA,NA,0,0.296537681863902
NA,NA,0,0.37417715594367
NA,NA,0,0.111283931347041
NA,NA,0,0.0859109214958806
NA,NA,0,0.125633743056819
NA,NA,0,0.069888471029447
NA,NA,0,0.192142694818191
NA,NA,0,0.191580426311432
NA,NA,0,0.188795309017286
NA,NA,0,0.121308708949187
NA,NA,0,0.109566434658684
NA,NA,0,0.130483807847399
NA,NA,0,0.256455364906224
NA,NA,0,0.0664749004727454
NA,NA,0,0.262758241378998
NA,NA,0,0.21688626330652
NA,NA,0,0.294102044911374
NA,NA,0,0.0982768130789819
NA,NA,0,0.163532146999859
NA,NA,0,0.0643291194570608
NA,NA,0,0.303364821202381
NA,NA,0,0.106895901829124
NA,NA,0,0.221838733488001
NA,NA,0,0.178502858800579
NA,NA,0,0.146794771974941
NA,NA,0,0.20771686983089
NA,NA,0,0.125482819305221
NA,NA,0,0.273507690300889
NA,NA,0,0.130790741893777
NA,NA,0,0.167639890869368
NA,NA,0,0.367372118825288
NA,NA,0,0.15408744385186
NA,NA,0,0.120139795460738
NA,NA,0,0.308666706603497
NA,NA,0,0.298360054364723
NA,NA,0,0.223079021889972
NA,NA,0,0.136569738486348
NA,NA,0,0.0732296938322837
NA,NA,0,0.209943444677835
NA,NA,0,0.230819565558112
NA,NA,0,0.232006524687093
NA,NA,0,0.0960165602789133
NA,NA,0,0.139287131214138
NA,NA,0,0.406272972480993
NA,NA,0,0.348612465222852
NA,NA,0,0.348345953509107
