"From","To","Path_Length","Path"
"Order","Aggression",2,"Order -> Abasement -> Aggression"
"Order","Endurance",3,"Order -> Abasement -> Intraception -> Endurance"
"Order","Heterosexuality",4,"Order -> Abasement -> Intraception -> Dominance -> Heterosexuality"
"Order","Achievement",3,"Order -> Abasement -> Intraception -> Achievement"
"Aggression","Endurance",2,"Aggression -> Dominance -> Endurance"
"Aggression","Heterosexuality",2,"Aggression -> Dominance -> Heterosexuality"
"Aggression","Achievement",3,"Aggression -> Abasement -> Intraception -> Achievement"
"Endurance","Heterosexuality",2,"Endurance -> Dominance -> Heterosexuality"
"Endurance","Achievement",2,"Endurance -> Intraception -> Achievement"
"Heterosexuality","Achievement",2,"Heterosexuality -> Exhibition -> Achievement"
