"Aspek","Expected_Influence","Strength","EI_2_Step"
"Exhibition",-0.83,1.482,-1.058
"Achievement",-0.845,2.454,-1.296
"Deference",-0.86,1.903,-1.157
"Autonomy",-0.884,2.181,-1.394
"Intraception",-0.909,1.019,-0.996
"Affiliation",-0.941,1.959,-1.348
"Change",-0.97,1.238,-1.087
"Abasement",-0.995,1.687,-1.362
"Dominance",-1.01,1.696,-1.274
"Endurance",-1.019,2.787,-1.742
"Nurturance",-1.05,2.419,-1.621
"Order",-1.071,3.006,-1.771
"Aggression",-1.123,2.963,-1.994
"Heterosexuality",-1.159,2.684,-1.93
"Succorance",-1.163,2.234,-1.761
