"Aspek","Betweenness","Closeness","Flow_Potential"
"Intraception",0.406593406593407,23.0618008826846,9.37677618306958
"Abasement",0.21978021978022,22.0002998601019,4.83523073848393
"Dominance",0.21978021978022,20.4046317985954,4.48453446122976
"Exhibition",0.120879120879121,18.6692344258797,2.25672064488656
"Change",0.0989010989010989,19.5167519941784,1.93022821920446
"Heterosexuality",0.0549450549450549,14.5058251045197,0.797023357391193
"Endurance",0.032967032967033,21.8620650727553,0.720727419980946
"Succorance",0.032967032967033,17.6148675194759,0.580709918224479
"Achievement",0,12.057452621533,0
"Deference",0,19.2137259929346,0
"Order",0,17.9574245969014,0
"Autonomy",0,14.9339063809011,0
"Affiliation",0,13.091615933034,0
"Nurturance",0,16.5195204606214,0
"Aggression",0,10.3650071640575,0
